Frame,Emotion,Confidence (%)
0,neutral,99.95017
2,neutral,99.99358
4,neutral,99.936935
6,neutral,99.99536
8,neutral,99.86521
10,neutral,99.97562
12,neutral,99.987755
14,neutral,99.88154
16,neutral,99.82781
18,neutral,99.95319
20,neutral,99.73672
22,neutral,99.86762
24,neutral,93.04382
26,neutral,99.36407
28,neutral,99.797035
30,neutral,99.94383
32,neutral,99.925385
34,neutral,99.70972
36,neutral,99.86265
38,neutral,99.99106
40,neutral,99.99643
42,neutral,99.99193
44,neutral,99.83657
46,neutral,99.66342
48,surprise,53.94211
50,neutral,70.92639
52,neutral,94.212074
54,neutral,99.34735
56,neutral,95.451126
58,neutral,98.96788
60,neutral,99.87953
62,neutral,99.7139
64,neutral,98.31773
66,neutral,99.20245
68,neutral,98.51322
70,neutral,99.8528
72,neutral,99.960526
74,neutral,99.9545
76,neutral,99.95903
78,neutral,99.98148
80,neutral,99.99238
82,neutral,99.9971
84,neutral,99.98284
86,neutral,99.50524
88,neutral,99.47125
90,neutral,98.46791
92,neutral,95.94874
94,happy,34.898247
96,neutral,31.626076
98,happy,91.97343
100,happy,93.23897
102,happy,94.990036
104,happy,93.44064
106,happy,89.93021
108,happy,90.53524
110,happy,93.215805
112,happy,97.30042
114,happy,94.44329
116,happy,99.17498
118,happy,99.408936
120,happy,99.75485
122,happy,99.80627
124,happy,99.68263
126,happy,99.37974
128,happy,98.49292
130,happy,95.20663
132,happy,98.107574
134,happy,95.341965
136,happy,96.17339
138,happy,96.86165
140,happy,99.30496
142,happy,99.09478
144,happy,97.934326
146,happy,95.9549
148,happy,95.67969
150,happy,94.47083
152,happy,96.17832
154,happy,96.825806
156,happy,86.21163
158,happy,72.96305
160,angry,61.655346
162,neutral,96.3189
164,neutral,98.10837
166,neutral,99.93404
168,neutral,99.70261
170,neutral,99.67373
172,neutral,98.47449
174,neutral,96.99293
176,neutral,97.3769
178,neutral,92.42257
180,neutral,98.732895
182,neutral,96.27682
184,neutral,97.98395
186,neutral,99.84818
188,neutral,99.722
190,neutral,99.79784
192,neutral,99.90757
194,neutral,99.97905
196,neutral,99.97999
198,neutral,99.92102
200,neutral,99.94232
202,neutral,99.97041
204,neutral,99.9188
206,neutral,99.973175
208,neutral,99.997314
210,neutral,99.994576
212,neutral,99.9625
214,neutral,99.99681
216,neutral,99.98871
218,neutral,98.34322
220,happy,89.15507
222,neutral,98.37805
224,neutral,99.903145
226,neutral,99.98081
228,neutral,99.97737
230,neutral,99.99447
232,neutral,99.994934
234,neutral,99.99736
236,neutral,99.99875
238,neutral,99.9951
240,neutral,99.9914
242,neutral,99.99426
244,neutral,99.99778
246,neutral,99.996376
248,neutral,99.975426
250,neutral,99.8543
252,neutral,99.93144
254,neutral,99.95579
256,neutral,99.94381
258,neutral,99.96595
260,neutral,94.638664
262,neutral,99.883286
264,neutral,99.74038
266,neutral,75.82991
268,neutral,70.99705
270,neutral,98.89655
272,neutral,99.0194
274,neutral,99.89192
276,neutral,99.865524
278,neutral,99.815216
280,neutral,99.18846
282,neutral,99.991905
284,neutral,99.912415
286,neutral,99.79435
288,neutral,99.98491
290,neutral,99.738754
292,neutral,99.93618
294,neutral,99.966965
296,neutral,99.8059
298,neutral,99.371544
300,neutral,98.2557
302,neutral,68.15373
304,neutral,71.725945
306,neutral,94.77793
308,neutral,79.01894
310,neutral,92.31151
312,neutral,92.4122
314,neutral,96.03444
316,neutral,97.78452
318,neutral,95.50712
320,neutral,91.32888
322,neutral,91.0033
324,neutral,95.29527
326,neutral,90.70373
328,surprise,94.78026
330,neutral,65.86543
332,neutral,58.802803
334,surprise,50.94451
336,neutral,82.97646
338,neutral,99.73902
340,neutral,55.006668
342,neutral,59.91915
344,surprise,56.341953
346,neutral,99.65871
348,surprise,54.165928
350,neutral,99.94332
352,neutral,98.660225
354,surprise,98.193054
356,surprise,96.14224
358,neutral,99.22737
360,surprise,98.842354
362,neutral,99.88804
364,neutral,96.49312
366,surprise,94.99846
368,surprise,87.42414
370,surprise,99.77715
372,neutral,83.20053
374,surprise,91.89686
376,surprise,66.52195
378,neutral,75.59428
380,neutral,98.91054
382,neutral,98.97787
384,neutral,99.91917
386,neutral,98.39791
388,neutral,98.88459
390,neutral,99.40012
392,neutral,99.43298
394,neutral,97.984406
396,neutral,99.27839
398,neutral,98.4815
400,neutral,99.21291
402,neutral,99.451035
404,neutral,99.430626
406,neutral,99.85
408,neutral,99.2111
410,neutral,98.55115
412,neutral,99.85489
414,neutral,96.314224
416,neutral,90.530785
418,neutral,93.97005
420,neutral,76.050934
422,neutral,94.708565
424,neutral,89.942986
426,neutral,95.380585
428,neutral,94.61118
430,neutral,95.468475
432,neutral,95.76556
434,neutral,97.57451
436,neutral,98.50863
438,neutral,96.428825
440,neutral,98.84468
442,neutral,96.097534
444,neutral,99.30852
446,neutral,99.76469
448,neutral,98.20341
450,neutral,99.447105
452,neutral,99.260864
454,neutral,99.6812
456,neutral,99.75054
458,neutral,99.65589
460,neutral,99.51966
462,neutral,98.81157
464,neutral,99.97926
466,neutral,87.87449
468,neutral,89.40742
470,neutral,70.74949
472,neutral,80.743454
474,neutral,98.585884
476,neutral,97.35197
478,neutral,92.04427
480,neutral,99.110535
482,neutral,90.36386
484,neutral,96.38415
486,neutral,84.08516
488,neutral,92.89156
490,neutral,93.26519
492,sad,99.993164
494,fear,58.300312
496,sad,61.24785
498,neutral,48.286236
500,neutral,98.520645
502,neutral,98.62462
504,neutral,99.59094
506,neutral,98.20793
508,neutral,97.3259
510,neutral,98.69886
512,neutral,99.824036
514,neutral,99.532326
516,neutral,99.243645
518,neutral,99.63366
520,neutral,99.939476
522,neutral,99.9283
524,neutral,99.01119
526,neutral,98.96542
528,neutral,99.82914
530,neutral,99.67249
532,neutral,99.93592
534,neutral,99.684296
536,neutral,99.17009
538,neutral,98.30973
540,neutral,99.68651
542,neutral,99.51263
544,neutral,95.36276
546,neutral,99.395615
548,neutral,99.862885
550,neutral,99.86463
552,neutral,99.55227
554,neutral,99.57792
556,neutral,99.36014
558,neutral,99.87127
560,neutral,99.95444
562,neutral,99.97473
564,neutral,99.94409
566,neutral,99.785194
568,neutral,99.65489
570,neutral,99.87317
572,neutral,99.89403
574,neutral,99.86035
576,happy,66.774635
578,neutral,95.23076
