Video: input_video.mp4
Total frames analyzed: 624 (every 2th frame)

Frame,Emotion,Confidence(%)
0,neutral,99.44
2,neutral,98.60
4,neutral,97.97
6,neutral,98.75
8,neutral,91.77
10,neutral,99.43
12,neutral,95.97
14,neutral,96.82
16,neutral,98.55
18,neutral,96.62
20,neutral,97.42
22,neutral,97.92
24,neutral,98.93
26,neutral,98.67
28,neutral,97.97
30,neutral,96.29
32,neutral,94.95
34,neutral,88.01
36,neutral,90.37
38,neutral,92.55
40,neutral,89.56
42,neutral,98.15
44,neutral,96.74
46,neutral,97.12
48,neutral,95.48
50,neutral,98.56
52,neutral,97.89
54,neutral,98.42
56,neutral,94.40
58,neutral,96.33
60,neutral,92.35
62,neutral,93.08
64,neutral,96.32
66,neutral,98.84
68,neutral,91.55
70,neutral,97.39
72,neutral,96.38
74,neutral,61.00
76,neutral,82.09
78,neutral,47.97
80,neutral,75.19
82,neutral,90.00
84,neutral,97.30
86,neutral,97.72
88,fear,48.02
90,fear,58.59
92,fear,64.92
94,neutral,67.48
96,neutral,39.24
98,fear,33.52
100,fear,78.53
102,fear,70.97
104,neutral,73.83
106,neutral,59.97
108,neutral,47.60
110,neutral,53.12
112,neutral,95.01
114,neutral,93.58
116,neutral,94.82
118,neutral,69.35
120,neutral,99.58
122,neutral,91.21
124,neutral,87.42
126,happy,79.20
128,happy,99.39
130,happy,99.92
132,happy,99.74
134,happy,99.52
136,happy,99.90
138,happy,99.93
140,happy,99.86
142,happy,99.66
144,happy,99.98
146,happy,99.98
148,happy,99.94
150,happy,99.94
152,happy,99.94
154,happy,99.69
156,happy,99.80
158,happy,99.96
160,happy,99.93
162,happy,99.95
164,happy,99.96
166,happy,99.84
168,happy,99.96
170,happy,99.93
172,happy,99.97
174,happy,99.94
176,happy,99.95
178,happy,99.97
180,happy,99.96
182,happy,99.95
184,happy,99.93
186,happy,99.96
188,happy,99.96
190,happy,99.92
192,happy,99.81
194,happy,99.92
196,happy,99.20
198,happy,99.39
200,happy,99.29
202,happy,99.82
204,happy,99.66
206,happy,99.12
208,happy,99.65
210,happy,99.60
212,happy,99.44
214,happy,98.27
216,happy,99.39
218,happy,99.09
220,happy,99.68
222,happy,97.58
224,happy,99.61
226,happy,99.75
228,happy,99.84
230,happy,99.81
232,happy,99.81
234,happy,99.69
236,happy,99.90
238,happy,99.70
240,happy,99.78
242,happy,98.41
244,happy,99.77
246,happy,97.79
248,happy,99.71
